food_name,data_type
"Babyfood, apple-banana juice",SR Legacy
"Babyfood, apples with ham, strained",SR Legacy
"Babyfood, apples, dices, toddler",SR Legacy
"Babyfood, Baby MUM MUM Rice Biscuits",SR Legacy
"Babyfood, baked product, finger snacks cereal fortified",SR Legacy
"Babyfood, banana apple dessert, strained",SR Legacy
"Babyfood, banana juice with low fat yogurt",SR Legacy
"Babyfood, banana no tapioca, strained",SR Legacy
"Babyfood, banana with mixed berries, strained",SR Legacy
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",SR Legacy
"Babyfood, carrots and beef, strained",SR Legacy
"Babyfood, carrots, toddler",SR Legacy
"Babyfood, cereal, barley, dry fortified",SR Legacy
"Babyfood, cereal, barley, prepared with whole milk",SR Legacy
"Babyfood, cereal, brown rice, dry, instant",SR Legacy
"Babyfood, cereal, egg yolks and bacon, junior",SR Legacy
"Babyfood, cereal, high protein, prepared with whole milk",SR Legacy
"Babyfood, cereal, high protein, with apple and orange, dry",SR Legacy
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",SR Legacy
"Babyfood, cereal, mixed, dry fortified",SR Legacy
"Babyfood, cereal, mixed, prepared with whole milk",SR Legacy
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",SR Legacy
"Babyfood, cereal, mixed, with applesauce and bananas, strained",SR Legacy
"Babyfood, cereal, mixed, with bananas, dry",SR Legacy
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",SR Legacy
"Babyfood, cereal, mixed, with honey, prepared with whole milk",SR Legacy
"Babyfood, cereal, oatmeal, dry fortified",SR Legacy
"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",SR Legacy
"Babyfood, cereal, oatmeal, prepared with whole milk",SR Legacy
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",SR Legacy
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",SR Legacy
"Babyfood, cereal, oatmeal, with bananas, dry",SR Legacy
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",SR Legacy
"Babyfood, cereal, oatmeal, with honey, dry",SR Legacy
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",SR Legacy
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",SR Legacy
"Babyfood, cereal, rice, dry fortified",SR Legacy
"Babyfood, cereal, rice, prepared with whole milk",SR Legacy
"Babyfood, cereal, rice, with applesauce and bananas, strained",SR Legacy
"Babyfood, cereal, rice, with bananas, dry",SR Legacy
"Babyfood, cereal, rice, with bananas, prepared with whole milk",SR Legacy
"Babyfood, cereal, rice, with honey, prepared with whole milk",SR Legacy
"Babyfood, cereal, whole wheat, with apples, dry fortified",SR Legacy
"Babyfood, cereal, with egg yolks, junior",SR Legacy
"Babyfood, cereal, with egg yolks, strained",SR Legacy
"Babyfood, cereal, with eggs, strained",SR Legacy
"Babyfood, cherry cobbler, junior",SR Legacy
"Babyfood, cookie, baby, fruit",SR Legacy
"Babyfood, cookies",SR Legacy
"Babyfood, cookies, arrowroot",SR Legacy
"Babyfood, corn and sweet potatoes, strained",SR Legacy
"Babyfood, crackers, vegetable",SR Legacy
"Babyfood, dessert, banana pudding, strained",SR Legacy
"Babyfood, dessert, banana yogurt, strained",SR Legacy
"Babyfood, dessert, blueberry yogurt, strained",SR Legacy
"Babyfood, dessert, cherry vanilla pudding, junior",SR Legacy
"Babyfood, dessert, cherry vanilla pudding, strained",SR Legacy
"Babyfood, dessert, custard pudding, vanilla, junior",SR Legacy
"Babyfood, dessert, custard pudding, vanilla, strained",SR Legacy
"Babyfood, dessert, dutch apple, junior",SR Legacy
"Babyfood, dessert, dutch apple, strained",SR Legacy
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",SR Legacy
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",SR Legacy
"Babyfood, dessert, fruit pudding, orange, strained",SR Legacy
"Babyfood, dessert, fruit pudding, pineapple, strained",SR Legacy
"Babyfood, dessert, peach cobbler, junior",SR Legacy
"Babyfood, dessert, peach cobbler, strained",SR Legacy
"Babyfood, dessert, peach melba, junior",SR Legacy
"Babyfood, dessert, peach melba, strained",SR Legacy
"Babyfood, dessert, peach yogurt",SR Legacy
"Babyfood, dessert, tropical fruit, junior",SR Legacy
"Babyfood, dinner, apples and chicken, strained",SR Legacy
"Babyfood, dinner, beef and rice, toddler",SR Legacy
"Babyfood, dinner, beef lasagna, toddler",SR Legacy
"Babyfood, dinner, beef noodle, junior",SR Legacy
"Babyfood, dinner, beef noodle, strained",SR Legacy
"Babyfood, dinner, beef with vegetables",SR Legacy
"Babyfood, dinner, broccoli and chicken, junior",SR Legacy
"Babyfood, dinner, chicken and rice",SR Legacy
"Babyfood, dinner, chicken noodle, junior",SR Legacy
"Babyfood, dinner, chicken noodle, strained",SR Legacy
"Babyfood, dinner, chicken soup, strained",SR Legacy
"Babyfood, dinner, chicken stew, toddler",SR Legacy
"Babyfood, dinner, macaroni and cheese, junior",SR Legacy
"Babyfood, dinner, macaroni and cheese, strained",SR Legacy
"Babyfood, dinner, macaroni and tomato and beef, junior",SR Legacy
"Babyfood, dinner, macaroni and tomato and beef, strained",SR Legacy
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",SR Legacy
"Babyfood, dinner, mixed vegetable, junior",SR Legacy
"Babyfood, dinner, mixed vegetable, strained",SR Legacy
"Babyfood, dinner, pasta with vegetables",SR Legacy
"Babyfood, dinner, spaghetti and tomato and meat, junior",SR Legacy
"Babyfood, dinner, spaghetti and tomato and meat, toddler",SR Legacy
"Babyfood, dinner, sweet potatoes and chicken, strained",SR Legacy
"Babyfood, dinner, turkey and rice, junior",SR Legacy
"Babyfood, dinner, turkey and rice, strained",SR Legacy
"Babyfood, dinner, turkey, rice, and vegetables, toddler",SR Legacy
"Babyfood, dinner, vegetables and beef, junior",SR Legacy
"Babyfood, dinner, vegetables and beef, strained",SR Legacy
"Babyfood, dinner, vegetables and chicken, junior",SR Legacy
"Babyfood, dinner, vegetables and dumplings and beef, junior",SR Legacy
